feature_code,name,type,year,age,sex,number_assessed
S12000006,Dumfries and Galloway,Local Authority,2016/17,All,All,331
S12000006,Dumfries and Galloway,Local Authority,2017/18,All,All,327
S12000006,Dumfries and Galloway,Local Authority,2018/19,All,All,324
S12000045,East Dunbartonshire,Local Authority,2006/07,All,All,67
S12000045,East Dunbartonshire,Local Authority,2007/08,All,All,96
S12000045,East Dunbartonshire,Local Authority,2008/09,All,All,114
S12000045,East Dunbartonshire,Local Authority,2009/10,All,All,68
S12000045,East Dunbartonshire,Local Authority,2010/11,All,All,54
S12000045,East Dunbartonshire,Local Authority,2011/12,All,All,115
S12000045,East Dunbartonshire,Local Authority,2012/13,All,All,132
S12000045,East Dunbartonshire,Local Authority,2013/14,All,All,100
S12000045,East Dunbartonshire,Local Authority,2014/15,All,All,84
S12000045,East Dunbartonshire,Local Authority,2015/16,All,All,32
S12000045,East Dunbartonshire,Local Authority,2016/17,All,All,41
S12000045,East Dunbartonshire,Local Authority,2017/18,All,All,67
S12000045,East Dunbartonshire,Local Authority,2018/19,All,All,67
S12000039,West Dunbartonshire,Local Authority,2006/07,All,All,402
S12000039,West Dunbartonshire,Local Authority,2007/08,All,All,385
S12000039,West Dunbartonshire,Local Authority,2008/09,All,All,507
S12000039,West Dunbartonshire,Local Authority,2009/10,All,All,431
S12000039,West Dunbartonshire,Local Authority,2010/11,All,All,421
S12000039,West Dunbartonshire,Local Authority,2011/12,All,All,416
S12000039,West Dunbartonshire,Local Authority,2012/13,All,All,337
S12000039,West Dunbartonshire,Local Authority,2013/14,All,All,366
S12000039,West Dunbartonshire,Local Authority,2014/15,All,All,371
S12000039,West Dunbartonshire,Local Authority,2015/16,All,All,310
S12000039,West Dunbartonshire,Local Authority,2016/17,All,All,291
S12000039,West Dunbartonshire,Local Authority,2017/18,All,All,271
S12000039,West Dunbartonshire,Local Authority,2018/19,All,All,317
S12000042,Dundee City,Local Authority,2006/07,All,All,569
S12000042,Dundee City,Local Authority,2007/08,All,All,756
S12000042,Dundee City,Local Authority,2008/09,All,All,886
S12000042,Dundee City,Local Authority,2009/10,All,All,683
S12000042,Dundee City,Local Authority,2010/11,All,All,470
S12000042,Dundee City,Local Authority,2011/12,All,All,396
S12000042,Dundee City,Local Authority,2012/13,All,All,519
S12000042,Dundee City,Local Authority,2013/14,All,All,NA
S12000042,Dundee City,Local Authority,2014/15,All,All,476
S12000042,Dundee City,Local Authority,2015/16,All,All,373
S12000042,Dundee City,Local Authority,2016/17,All,All,320
S12000042,Dundee City,Local Authority,2017/18,All,All,360
S12000042,Dundee City,Local Authority,2018/19,All,All,303
S12000036,City of Edinburgh,Local Authority,2006/07,All,All,1128
S12000036,City of Edinburgh,Local Authority,2007/08,All,All,1308
S12000036,City of Edinburgh,Local Authority,2008/09,All,All,1440
S12000036,City of Edinburgh,Local Authority,2009/10,All,All,1091
S12000036,City of Edinburgh,Local Authority,2010/11,All,All,1197
S12000036,City of Edinburgh,Local Authority,2011/12,All,All,1172
S12000036,City of Edinburgh,Local Authority,2012/13,All,All,953
S12000036,City of Edinburgh,Local Authority,2013/14,All,All,1163
S12000036,City of Edinburgh,Local Authority,2014/15,All,All,1169
S12000036,City of Edinburgh,Local Authority,2015/16,All,All,1260
S12000036,City of Edinburgh,Local Authority,2016/17,All,All,1470
S12000036,City of Edinburgh,Local Authority,2017/18,All,All,1236
S12000036,City of Edinburgh,Local Authority,2018/19,All,All,1220
S12000013,Na h-Eileanan Siar,Local Authority,2006/07,All,All,28
S12000013,Na h-Eileanan Siar,Local Authority,2007/08,All,All,36
S12000013,Na h-Eileanan Siar,Local Authority,2008/09,All,All,29
S12000013,Na h-Eileanan Siar,Local Authority,2009/10,All,All,15
S12000013,Na h-Eileanan Siar,Local Authority,2010/11,All,All,33
S12000013,Na h-Eileanan Siar,Local Authority,2011/12,All,All,38
S12000013,Na h-Eileanan Siar,Local Authority,2012/13,All,All,28
