_id,FinancialYear,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
183,2007/08,S08000028,"",All,d,All,d,36,"",100,""
184,2008/09,S08000028,"",All,d,All,d,29,"",100,""
185,2009/10,S08000028,"",All,d,All,d,15,"",100,""
186,2010/11,S08000028,"",All,d,All,d,33,"",100,""
187,2011/12,S08000028,"",All,d,All,d,38,"",100,""
188,2012/13,S08000028,"",All,d,All,d,28,"",100,""
189,2013/14,S08000028,"",All,d,All,d,21,"",100,""
190,2014/15,S08000028,"",All,d,All,d,24,"",100,""
191,2015/16,S08000028,"",All,d,All,d,28,"",100,""
192,2016/17,S08000028,"",All,d,All,d,34,"",100,""
193,2017/18,S08000028,"",All,d,All,d,19,"",100,""
194,2018/19,S08000028,"",All,d,All,d,12,"",100,""
195,2006/07,S92000003,d,Under 20yrs old,"",All,d,1054,"",8.64927,""
196,2006/07,S92000003,d,20 to 24 yrs old,"",All,d,2075,"",17.02774,""
197,2006/07,S92000003,d,25 to 29 yrs old,"",All,d,2905,"",23.83883,""
198,2006/07,S92000003,d,30 to 34 yrs old,"",All,d,2603,"",21.36058,""
199,2006/07,S92000003,d,35 to 39 yrs old,"",All,d,1766,"",14.49204,""
200,2006/07,S92000003,d,40 to 44 yrs old,"",All,d,982,"",8.05843,""
201,2006/07,S92000003,d,45+ yrs old,"",All,d,801,"",6.57312,""
202,2006/07,S92000003,d,Unknown,"",All,d,0,"",0,""
203,2007/08,S92000003,d,Under 20yrs old,"",All,d,1043,"",8.06589,""
204,2007/08,S92000003,d,20 to 24 yrs old,"",All,d,2124,"",16.42564,""
205,2007/08,S92000003,d,25 to 29 yrs old,"",All,d,3017,"",23.33153,""
206,2007/08,S92000003,d,30 to 34 yrs old,"",All,d,2666,"",20.61712,""
207,2007/08,S92000003,d,35 to 39 yrs old,"",All,d,1967,"",15.21151,""
208,2007/08,S92000003,d,40 to 44 yrs old,"",All,d,1104,"",8.53762,""
209,2007/08,S92000003,d,45+ yrs old,"",All,d,1008,"",7.79522,""
210,2007/08,S92000003,d,Unknown,"",All,d,2,"",0.01547,""
211,2008/09,S92000003,d,Under 20yrs old,"",All,d,924,"",7.62565,""
212,2008/09,S92000003,d,20 to 24 yrs old,"",All,d,1838,"",15.16877,""
213,2008/09,S92000003,d,25 to 29 yrs old,"",All,d,2859,"",23.59495,""
214,2008/09,S92000003,d,30 to 34 yrs old,"",All,d,2474,"",20.4176,""
215,2008/09,S92000003,d,35 to 39 yrs old,"",All,d,1814,"",14.9707,""
216,2008/09,S92000003,d,40 to 44 yrs old,"",All,d,1170,"",9.65586,""
217,2008/09,S92000003,d,45+ yrs old,"",All,d,1038,"",8.56648,""
218,2008/09,S92000003,d,Unknown,"",All,d,0,"",0,""
219,2009/10,S92000003,d,Under 20yrs old,"",All,d,762,"",6.73323,""
220,2009/10,S92000003,d,20 to 24 yrs old,"",All,d,1581,"",13.97013,""
221,2009/10,S92000003,d,25 to 29 yrs old,"",All,d,2460,"",21.73721,""
222,2009/10,S92000003,d,30 to 34 yrs old,"",All,d,2456,"",21.70186,""
223,2009/10,S92000003,d,35 to 39 yrs old,"",All,d,1924,"",17.00097,""
224,2009/10,S92000003,d,40 to 44 yrs old,"",All,d,1174,"",10.37377,""
225,2009/10,S92000003,d,45+ yrs old,"",All,d,959,"",8.47398,""
226,2009/10,S92000003,d,Unknown,"",All,d,1,"",0.00884,""
227,2010/11,S92000003,d,Under 20yrs old,"",All,d,725,"",6.34462,""
228,2010/11,S92000003,d,20 to 24 yrs old,"",All,d,1516,"",13.26682,""
229,2010/11,S92000003,d,25 to 29 yrs old,"",All,d,2287,"",20.014,""
230,2010/11,S92000003,d,30 to 34 yrs old,"",All,d,2627,"",22.98941,""
231,2010/11,S92000003,d,35 to 39 yrs old,"",All,d,2056,"",17.99247,""
232,2010/11,S92000003,d,40 to 44 yrs old,"",All,d,1198,"",10.48394,""
233,2010/11,S92000003,d,45+ yrs old,"",All,d,1015,"",8.88247,""
234,2010/11,S92000003,d,Unknown,"",All,d,3,"",0.02625,""
235,2011/12,S92000003,d,Under 20yrs old,"",All,d,755,"",6.66079,""
236,2011/12,S92000003,d,20 to 24 yrs old,"",All,d,1424,"",12.56286,""
237,2011/12,S92000003,d,25 to 29 yrs old,"",All,d,2124,"",18.73842,""
238,2011/12,S92000003,d,30 to 34 yrs old,"",All,d,2529,"",22.31142,""
239,2011/12,S92000003,d,35 to 39 yrs old,"",All,d,1987,"",17.52978,""
240,2011/12,S92000003,d,40 to 44 yrs old,"",All,d,1424,"",12.56286,""
241,2011/12,S92000003,d,45+ yrs old,"",All,d,1091,"",9.62506,""
242,2011/12,S92000003,d,Unknown,"",All,d,1,"",0.00882,""
243,2012/13,S92000003,d,Under 20yrs old,"",All,d,632,"",5.41467,""
244,2012/13,S92000003,d,20 to 24 yrs old,"",All,d,1351,"",11.57471,""
245,2012/13,S92000003,d,25 to 29 yrs old,"",All,d,1997,"",17.10932,""
246,2012/13,S92000003,d,30 to 34 yrs old,"",All,d,2547,"",21.82145,""
247,2012/13,S92000003,d,35 to 39 yrs old,"",All,d,2052,"",17.58053,""
248,2012/13,S92000003,d,40 to 44 yrs old,"",All,d,1567,"",13.42529,""
249,2012/13,S92000003,d,45+ yrs old,"",All,d,1524,"",13.05689,""
250,2012/13,S92000003,d,Unknown,"",All,d,2,"",0.01714,""
251,2013/14,S92000003,d,Under 20yrs old,"",All,d,,:,,:
252,2013/14,S92000003,d,20 to 24 yrs old,"",All,d,,:,,:
253,2013/14,S92000003,d,25 to 29 yrs old,"",All,d,,:,,:
